level,datetime
DEBUG,2015-2-6 16:24:07
WARN,2016-7-26 18:54:43
INFO,2012-10-18 14:35:19
DEBUG,2012-4-26 14:26:50
DEBUG,2013-9-28 20:27:13
INFO,2017-8-20 13:17:27
INFO,2015-4-13 09:28:17
DEBUG,2015-7-17 00:49:27
DEBUG,2014-7-26 02:33:09
INFO,2016-1-13 09:51:57
DEBUG,2015-1-14 08:55:30
DEBUG,2016-1-20 03:47:06
DEBUG,2013-7-8 21:00:50
DEBUG,2012-5-22 11:43:57
DEBUG,2013-3-20 06:14:50
INFO,2015-8-8 20:49:22
WARN,2015-1-14 20:05:00
INFO,2017-6-14 00:08:35
INFO,2016-1-18 11:50:14
DEBUG,2017-7-1 12:55:02
INFO,2014-2-26 12:34:21
INFO,2015-7-12 11:13:47
INFO,2017-4-15 01:20:18
DEBUG,2016-11-2 20:19:23
INFO,2012-8-20 10:09:44
DEBUG,2014-4-22 21:30:49
WARN,2013-12-6 17:54:15
DEBUG,2017-1-12 10:47:02
DEBUG,2016-6-25 11:06:42
ERROR,2015-6-28 19:25:05
DEBUG,2012-6-24 01:06:37
INFO,2014-12-9 09:53:54
DEBUG,2015-11-8 19:20:08
INFO,2017-7-21 18:34:18
DEBUG,2014-12-26 06:38:42
DEBUG,2013-1-6 16:56:43
INFO,2015-10-8 11:33:25
INFO,2016-11-18 09:47:31
DEBUG,2017-7-13 15:35:11
DEBUG,2013-1-21 20:20:25
DEBUG,2017-7-17 12:36:35
DEBUG,2017-1-13 04:33:30
DEBUG,2014-4-9 12:54:43
INFO,2014-5-3 23:41:02
DEBUG,2012-10-3 16:53:10
INFO,2016-5-24 16:19:31
INFO,2015-9-2 10:55:55
INFO,2015-3-20 18:39:44
DEBUG,2016-3-2 09:48:18
DEBUG,2014-8-11 10:31:14
DEBUG,2016-5-11 13:38:24
DEBUG,2013-5-9 10:43:05
DEBUG,2015-9-7 23:30:00
DEBUG,2017-7-5 03:24:32
WARN,2016-4-18 12:38:53
DEBUG,2016-2-28 01:50:55
INFO,2017-10-26 18:39:52
DEBUG,2012-8-7 00:09:16
WARN,2012-5-27 15:13:44
DEBUG,2016-9-11 13:04:58
DEBUG,2015-8-8 03:23:04
WARN,2017-10-28 05:25:56
DEBUG,2014-3-20 15:49:14
DEBUG,2015-9-6 00:53:50
INFO,2012-6-23 17:00:27
DEBUG,2017-12-20 01:14:36
DEBUG,2013-2-4 00:29:46
WARN,2016-9-11 17:42:20
WARN,2017-8-5 10:47:14
INFO,2014-7-1 20:24:31
DEBUG,2017-7-3 18:04:17
ERROR,2016-6-21 00:48:16
DEBUG,2012-11-14 09:57:46
DEBUG,2012-9-23 20:32:50
INFO,2017-9-19 20:20:40
DEBUG,2016-5-23 13:47:39
INFO,2013-11-9 18:59:47
DEBUG,2012-6-28 07:02:56
INFO,2013-3-25 00:26:49
DEBUG,2014-5-3 23:13:24
ERROR,2013-8-11 12:51:49
WARN,2016-10-4 18:42:13
INFO,2012-8-16 09:43:36
INFO,2014-7-22 01:23:35
DEBUG,2014-6-5 03:32:37
WARN,2015-5-13 07:33:37
INFO,2016-3-6 09:33:23
WARN,2014-2-3 04:17:59
WARN,2017-4-27 19:20:23
DEBUG,2012-9-20 19:23:41
FATAL,2015-11-21 23:17:09
DEBUG,2015-5-24 01:57:59
INFO,2016-11-28 00:01:30
DEBUG,2017-8-21 23:22:36
WARN,2016-5-21 19:28:35
DEBUG,2017-12-1 07:03:28
DEBUG,2016-5-21 23:39:16
WARN,2014-6-4 22:20:21
DEBUG,2013-1-6 04:02:10
DEBUG,2017-4-4 04:45:46
DEBUG,2013-11-17 08:44:14
INFO,2016-4-25 03:22:08
DEBUG,2014-9-25 09:24:29
DEBUG,2016-2-9 02:58:35
INFO,2016-7-9 04:32:58
DEBUG,2015-12-4 08:26:44
DEBUG,2016-6-13 21:23:47
DEBUG,2014-1-13 01:29:34
DEBUG,2013-6-16 12:52:42
INFO,2015-2-13 17:12:53
DEBUG,2012-10-2 12:24:03
DEBUG,2016-5-25 14:17:47
INFO,2013-5-15 07:14:53
WARN,2012-9-2 00:13:57
INFO,2013-7-12 08:58:38
INFO,2012-2-20 18:52:40
WARN,2016-8-18 19:42:18
DEBUG,2017-4-3 09:48:51
DEBUG,2013-4-13 00:25:50
DEBUG,2016-10-10 13:09:52
DEBUG,2014-11-25 04:38:17
DEBUG,2014-9-23 15:44:48
INFO,2014-3-18 05:08:29
DEBUG,2017-6-25 19:24:43
FATAL,2015-5-10 03:58:42
